报告：,投放网络
帐户：,Baidu-大皇帝1-8141563
日期范围：,2015-01-19-2015-01-19
所属层级：,

网站,推广计划,推广组,推广组状态,所属一级行业,所属二级行业,出价(元),展现次数,展现独立访客,展现频次,点击次数,点击独立访客,点击率,独立访客点击率,平均点击价格(元),平均独立访客点击价格(元),千次展现成本(元),总费用(元),到达率,二跳率,停留时间,直接转化,间接转化
96516.cn,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,宽带电影,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xianglongyun.com,新三国解密,新三国解密-三国词,有效,网络服务应用,技术论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jinda.tv,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件交流,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jddxx.com,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,18,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ulpat.cn,黑人打江山,黑人打江山-三国词,有效,游戏,综合游戏,0.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ch400.net,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
7zcn.cn,新三国解密,新三国解密-三国词,有效,新闻媒体,综合门户,1.0,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
18095.com,黑人打江山,黑人打江山-三国词,有效,数码及手机,手机资源及下载,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
hunanweishi.cn,黑人打江山,黑人打江山-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
junshitx.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,政史军事,1.6,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
4791.cn,黑人打江山,黑人打江山-直投,有效,休闲娱乐,动漫,0.6,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mmqss.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,硬件资讯,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sjhcx.com,新三国解密,新三国解密-三国词,有效,网络服务应用,搜索查询,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
uuipa.com,新三国解密,新三国解密-三国词,有效,数码及手机,手机资源及下载,1.8,9,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
16book.com,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,78,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
laoy.net,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件交流,1.7,16,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qikuyou.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,视频短片,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
douluodalu2.com,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,10,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yuqinge.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,地方媒体,0.8,158,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
bookbao.cc,囧叔说三国,囧叔说三国-三国词,有效,小说,电子书,1.8,11,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
routerclub.com,黑人打江山,黑人打江山-直投,有效,计算机软件硬件,软件交流,0.6,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
excel-partner.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件交流,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dyxz.org,黑人打江山,黑人打江山-三国词,有效,音乐影视,宽带电影,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
socoola.com,新三国解密,新三国解密-三国词,有效,音乐影视,娱乐综合,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
haokongbu.com,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,29,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zzqpc.com,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mtfcn.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,748,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ssnzw.net,3D领取吕布,3D领取吕布-三国词,有效,垂直行业,农林牧渔,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xiguami.com,黑人打江山,黑人打江山-三国词,有效,休闲娱乐,笑话,1.7,115,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
11pd.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,宽带电影,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
stnn.cc,新三国解密,新三国解密-三国词,有效,新闻媒体,综合门户,1.0,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
2316.com.cn,黑人打江山,黑人打江山-三国词,有效,新闻媒体,广播/电视,1.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xiao688.com,3D领取吕布,3D领取吕布-三国词,有效,休闲娱乐,笑话,1.8,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yisinet.com,囧叔说三国,囧叔说三国-三国词,有效,游戏,网络游戏,1.8,16,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
itokit.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件交流,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
emushroom.net,新三国解密,新三国解密-三国词,有效,垂直行业,农林牧渔,1.8,15,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
rineihan.com,酋长玩三国,酋长玩三国-三国词,有效,休闲娱乐,笑话,1.5,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zxyww.com,3D领取吕布,3D领取吕布-三国词,有效,小说,文化文学,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qnxz.net,黑人打江山,黑人打江山-三国词,有效,音乐影视,娱乐综合,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ra2.com.cn,3D领取吕布,3D领取吕布-三国词,有效,游戏,单机游戏,0.6,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ghtt.net,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,39,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
hzhuti.com,黑人打江山,黑人打江山-三国词,有效,数码及手机,手机资源及下载,1.7,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
c4d.cn,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件交流,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
rrady.com,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ttkvod.com,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,娱乐综合,1.8,17,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wenxuemm.com,武将貂蝉,武将貂蝉-三国词,有效,小说,小说阅读,1.5,147,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
4567.tv,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,宽带电影,1.8,42,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mp4ba.com,酋长玩三国,酋长玩三国-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
feifantxt.com,黑人打江山,黑人打江山-直投,有效,社交网络和在线社区,综合论坛,0.6,36,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dooo.cc,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,综合门户,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
heiyanwang.com,3D领取吕布,3D领取吕布-三国词,有效,小说,电子书,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dthcz.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
changjiangtimes.com,新三国解密,新三国解密-三国词,有效,新闻媒体,地方媒体,1.0,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lmqs.net,黑人打江山,黑人打江山-直投,有效,小说,文化文学,1.0,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
0517m.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ps123.net,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件下载,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
999.com,酋长玩三国,酋长玩三国-三国词,有效,网址导航,,1.5,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
chinaloe88.cn,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dytt.cn,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
3dfrom.com,新三国解密,新三国解密-三国词,有效,网络服务应用,技术论坛,1.8,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cf8.com.cn,黑人打江山,黑人打江山-三国词,有效,投资金融,财经资讯,1.8,93,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sportscn.com,黑人打江山,黑人打江山-直投,有效,体育运动,体育综合,1.0,34,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qgjunshi.cc,黑人打江山,黑人打江山-直投,有效,新闻媒体,政史军事,0.8,958,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ckck.tv,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,70,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xsyqw.com,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wandodo.com,酋长玩三国,酋长玩三国-三国词,有效,游戏,网络游戏,1.5,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
shmingshang.net,黑人打江山,黑人打江山-直投,有效,新闻媒体,地方媒体,0.8,14,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kanshij.com,新三国解密,新三国解密-三国词,有效,网址导航,,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
szbothwin.cn,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,视频短片,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
chinabaohulu.com,3D领取吕布,3D领取吕布-三国词,有效,小说,文化文学,1.8,52,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
169it.com,新三国解密,新三国解密-三国词,有效,网络服务应用,技术论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
androidonline.net,黑人打江山,黑人打江山-三国词,有效,数码及手机,手机资源及下载,1.7,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
fevte.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件交流,1.8,27,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
itdaogou.com,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,电脑产品,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
5200d.com,3D领取吕布,3D领取吕布-三国词,有效,小说,小说阅读,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xiaogushi.cc,黑人打江山,黑人打江山-三国词,有效,小说,文化文学,1.8,14,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
chinabig.com.cn,黑人打江山,黑人打江山-三国词,有效,新闻媒体,地方媒体,1.6,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zyxiu.com,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,娱乐综合,1.8,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
shm.com.cn,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
10jqka.com.cn,囧叔说三国,囧叔说三国-三国词,有效,投资金融,股票基金,1.8,12,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
koopchina.com.cn,新三国解密,新三国解密-三国词,有效,音乐影视,视频短片,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xwsmx.com,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
oldsns.com,3D领取吕布,3D领取吕布-三国词,有效,社交网络和在线社区,SNS,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cngold.org,黑人打江山,黑人打江山-三国词,有效,投资金融,财经资讯,1.8,89,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
liaoxuefeng.com,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,软件交流,1.8,7,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
oyaya.net,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ccv5.com,黑人打江山,黑人打江山-直投,有效,音乐影视,宽带电影,0.6,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yiwu.cn,3D领取吕布,3D领取吕布-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
onegreen.net,囧叔说三国,囧叔说三国-三国词,有效,计算机软件硬件,软件下载,1.8,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ttll.cc,酋长玩三国,酋长玩三国-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
daimajiayuan.com,黑人打江山,黑人打江山-直投,有效,网络服务应用,源码下载,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
auvplayer.com,新三国解密,新三国解密-三国词,有效,音乐影视,娱乐综合,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zhuzhu123.com,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,宽带电影,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xthacker.com,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件交流,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
rjzxw.com,囧叔说三国,囧叔说三国-三国词,有效,计算机软件硬件,软件交流,1.8,14,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xinqiys.com,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jswangpan.com,黑人打江山,黑人打江山-三国词,有效,网络服务应用,网盘,1.7,10,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
hutuo.net,黑人打江山,黑人打江山-三国词,有效,新闻媒体,综合门户,1.6,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dota.tw,新三国解密,新三国解密-三国词,有效,游戏,综合游戏,0.6,16,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
52huoying.com,新三国解密,新三国解密-三国词,有效,休闲娱乐,动漫,0.8,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
bxg68.com,武将貂蝉,武将貂蝉-三国词,有效,新闻媒体,政史军事,1.5,353,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
chinabyte.com,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,软件交流,1.8,40,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
radio366.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,广播/电视,0.8,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xiaohx.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,娱乐综合,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
gongzhou.com,黑人打江山,黑人打江山-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wjxs.cc,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,42,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xinji.org,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,9,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
5yan.cn,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,垂直论坛,1.8,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sosowenwen.com,黑人打江山,黑人打江山-直投,有效,社交网络和在线社区,综合论坛,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
51vs.com,黑人打江山,黑人打江山-三国词,有效,体育运动,体育综合,2.0,9,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
086798.com,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,20,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sp83.com,囧叔说三国,囧叔说三国-三国词,有效,体育运动,体育综合,2.0,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
52xiaoshuo.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,146,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
2930.cc,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
seekxiu.com,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,硬件资讯,1.7,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
fckb.cc,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,宽带电影,1.8,38,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
huahuibk.com,新三国解密,新三国解密-三国词,有效,垂直行业,农林牧渔,1.8,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
resurl.com,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件交流,1.7,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
niutuijian.com,黑人打江山,黑人打江山-三国词,有效,网络服务应用,网盘,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
nanrenshu.com,3D领取吕布,3D领取吕布-三国词,有效,小说,小说阅读,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
123mmw.com,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
moxing.net,新三国解密,新三国解密-三国词,有效,新闻媒体,政史军事,1.0,18,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
chyxx.com,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,综合门户,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
v6y6.com,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
pdfdo.com,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件交流,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sogou.com,3D领取吕布,3D领取吕布-三国词,有效,网络服务应用,搜索查询,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
haotxt.com,酋长玩三国,酋长玩三国-三国词,有效,小说,小说阅读,2.0,31,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
moon-soft.com,囧叔说三国,囧叔说三国-三国词,有效,网络服务应用,源码下载,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lanrentingshu.cc,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,21,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
gytoday.cn,新三国解密,新三国解密-三国词,有效,新闻媒体,综合门户,1.0,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qy6.com,3D领取吕布,3D领取吕布-三国词,有效,垂直行业,商务贸易,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lookmw.cn,黑人打江山,黑人打江山-直投,有效,小说,文化文学,1.0,9,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
codesky.net,黑人打江山,黑人打江山-三国词,有效,网络服务应用,源码下载,1.7,7,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
caesoftware.cn,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
nba240.com,新三国解密,新三国解密-三国词,有效,体育运动,篮球NBA,2.0,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xihanmedia.com,新三国解密,新三国解密-三国词,有效,音乐影视,娱乐综合,1.8,31,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
139s.com,囧叔说三国,囧叔说三国-三国词,有效,游戏,综合游戏,1.8,11,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sootoo.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,综合门户,1.6,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
milzx.com,酋长玩三国,酋长玩三国-三国词,有效,新闻媒体,政史军事,1.5,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
288dy.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,宽带电影,1.8,41,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
nuonuo8.com,黑人打江山,黑人打江山-直投,有效,小说,电子书,1.0,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
biyiai.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,交友和婚恋,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
auvplayer.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,娱乐综合,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
maimaitee.com,新三国解密,新三国解密-三国词,有效,新闻媒体,综合门户,1.0,9,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
m2f.cn,囧叔说三国,囧叔说三国-三国词,有效,新闻媒体,地方媒体,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
2160.com,新三国解密,新三国解密-三国词,有效,游戏,网络游戏,1.0,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zerodm.tv,黑人打江山,黑人打江山-三国词,有效,休闲娱乐,动漫,1.3,64,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
10yan.com,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,地方媒体,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
188txt.com,黑人打江山,黑人打江山-直投,有效,小说,电子书,1.0,60,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
b2b110.com,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,11,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zhiboche.com,囧叔说三国,囧叔说三国-三国词,有效,体育运动,体育综合,2.0,52,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
im286.com,黑人打江山,黑人打江山-直投,有效,网络服务应用,技术论坛,0.6,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zulmat.cn,武将貂蝉,武将貂蝉-三国词,有效,网络服务应用,技术论坛,1.5,244,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
527010.cn,酋长玩三国,酋长玩三国-三国词,有效,新闻媒体,综合门户,1.5,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tangdouya.com,黑人打江山,黑人打江山-直投,有效,社交网络和在线社区,交友和婚恋,0.6,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jdzj.com,新三国解密,新三国解密-三国词,有效,垂直行业,电子五金,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kiwang.com,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,30,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
010lm.com,黑人打江山,黑人打江山-三国词,有效,社交网络和在线社区,综合论坛,1.8,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
asean168.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,综合门户,1.6,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ed2kers.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,娱乐综合,1.7,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
chendu.net,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
huaihe163.com,新三国解密,新三国解密-三国词,有效,垂直行业,农林牧渔,1.8,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
luoqiu.com.cn,3D领取吕布,3D领取吕布-三国词,有效,小说,小说阅读,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
miljinhua.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,政史军事,1.6,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
97kf.com,囧叔说三国,囧叔说三国-三国词,有效,数码及手机,数码及手机资讯,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
j2014.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cp345.com.cn,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qiushibaike.cc,新三国解密,新三国解密-三国词,有效,休闲娱乐,笑话,1.3,38,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xcmh.cc,酋长玩三国,酋长玩三国-三国词,有效,休闲娱乐,动漫,1.5,205,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
btpanda.com,黑人打江山,黑人打江山-三国词,有效,社交网络和在线社区,综合论坛,1.8,27,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zhiyiw.cn,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
bingdi.cc,黑人打江山,黑人打江山-三国词,有效,小说,电子书,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
008o.com,新三国解密,新三国解密-三国词,有效,网络服务应用,源码下载,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sivee.com,黑人打江山,黑人打江山-三国词,有效,投资金融,财经资讯,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xcljs.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,政史军事,1.6,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cfanclub.net,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,电脑产品,1.7,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
shmingshang.net,黑人打江山,黑人打江山-三国词,有效,新闻媒体,地方媒体,1.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kk55.net,3D领取吕布,3D领取吕布-三国词,有效,游戏,单机游戏,0.6,68,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
