报告：,投放网络
帐户：,Baidu-大皇帝1-8141563
日期范围：,2015-01-19-2015-01-19
所属层级：,

网站,推广计划,推广组,推广组状态,所属一级行业,所属二级行业,出价(元),展现次数,展现独立访客,展现频次,点击次数,点击独立访客,点击率,独立访客点击率,平均点击价格(元),平均独立访客点击价格(元),千次展现成本(元),总费用(元),到达率,二跳率,停留时间,直接转化,间接转化
juyit.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,3303,0,-,1,0,0.0303%,-,1.8,-,0.54,1.8,0%,-,,0,0
bolan001.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,政史军事,0.8,11,0,-,1,0,9.0909%,-,0.77,-,70,0.77,0%,-,,0,0
imstu.org.cn,黑人打江山,黑人打江山-三国词,有效,新闻媒体,地方媒体,1.6,4,0,-,1,0,25%,-,1.55,-,387.5,1.55,0%,-,,0,0
fanwencn.com,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,5,0,-,1,0,20%,-,1.25,-,250,1.25,0%,-,,0,0
ikandian.com,武将貂蝉,武将貂蝉-三国词,有效,新闻媒体,政史军事,1.5,359,0,-,1,0,0.2786%,-,1,-,2.79,1.0,0%,-,,0,0
51ztzj.com,武将貂蝉,武将貂蝉-三国词,有效,计算机软件硬件,软件下载,1.5,79,0,-,1,0,1.2658%,-,0.97,-,12.28,0.97,0%,-,,0,0
ifabao.com,3D领取吕布,3D领取吕布-三国词,有效,游戏,单机游戏,0.6,26,0,-,1,0,3.8462%,-,0.58,-,22.31,0.58,0%,-,,0,0
7958.com.cn,武将貂蝉,武将貂蝉-三国词,有效,网络服务应用,网盘,1.5,361,0,-,1,0,0.277%,-,1,-,2.77,1.0,0%,-,,0,0
nuxue.com,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,政史军事,1.8,484,0,-,1,0,0.2066%,-,1.8,-,3.72,1.8,0%,-,,0,0
jun4.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,政史军事,1.6,6,0,-,1,0,16.6667%,-,1.6,-,266.67,1.6,0%,-,,0,0
laishushu.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,1261,0,-,1,0,0.0793%,-,1,-,0.79,1.0,0%,-,,0,0
junshiniba.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,政史军事,1.6,94,0,-,1,0,1.0638%,-,1.6,-,17.02,1.6,0%,-,,0,0
zzpn.net,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,37,0,-,1,0,2.7027%,-,1.8,-,48.65,1.8,0%,-,,0,0
meike-shoes.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,2182,0,-,1,0,0.0458%,-,1,-,0.46,1.0,0%,-,,0,0
360swp.com,3D领取吕布,3D领取吕布-三国词,有效,网络服务应用,搜索查询,1.8,1,0,-,1,0,100%,-,0.17,-,170,0.17,0%,-,,0,0
cpplay.com,黑人打江山,黑人打江山-三国词,有效,游戏,综合游戏,0.8,13,0,-,1,0,7.6923%,-,0.8,-,61.54,0.8,0%,-,,0,0
qingguox.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,66,0,-,1,0,1.5152%,-,1.04,-,15.76,1.04,0%,-,,0,0
